Month,Year,Fecha,LDPE,LLDPE,HDPE,PP,PET,PA
2014,1,41640,1.984,1.808,1.841,2.116,1.868,3.417
2014,2,41671,2.072,1.896,1.929,2.094,1.808,3.417
2014,3,41699,2.072,1.896,1.929,2.061,1.786,3.483
2014,4,41730,2.072,1.896,1.929,2.039,1.764,3.483
2014,5,41760,2.072,1.896,1.929,2.028,1.764,3.483
2014,6,41791,2.072,1.896,1.929,1.962,1.808,3.483
2014,7,41821,2.072,1.896,1.929,1.962,1.874,3.483
2014,8,41852,2.072,1.896,1.929,2.072,1.907,3.483
2014,9,41883,2.138,1.962,1.995,2.072,1.868,3.483
2014,10,41913,2.138,1.962,1.995,2.161,1.813,3.483
2014,11,41944,2.072,1.896,1.929,2.05,1.664,3.417
2014,12,41974,1.984,1.808,1.841,1.841,1.598,3.263
2015,1,42005,1.896,1.72,1.753,1.609,1.488,3.219
2015,2,42036,1.786,1.609,1.642,1.631,1.455,3.109
2015,3,42064,1.786,1.609,1.642,1.598,1.499,3.109
2015,4,42095,1.786,1.609,1.642,1.51,1.571,3.109
2015,5,42125,1.896,1.72,1.753,1.488,1.653,3.109
2015,6,42156,1.896,1.72,1.753,1.51,1.698,3.109
2015,7,42186,1.896,1.72,1.753,1.477,1.72,3.109
2015,8,42217,1.786,1.609,1.642,1.444,1.598,3.109
2015,9,42248,1.698,1.521,1.554,1.422,1.521,2.932
2015,10,42278,1.698,1.521,1.554,1.488,1.488,2.932
2015,11,42309,1.698,1.521,1.554,1.532,1.466,2.932
2015,12,42339,1.698,1.521,1.554,1.576,1.433,2.932
2016,1,42370,1.631,1.455,1.488,1.653,1.367,2.866
2016,2,42401,1.587,1.411,1.444,1.653,1.367,2.822
2016,3,42430,1.698,1.521,1.554,1.676,1.405,2.734
2016,4,42461,1.786,1.609,1.642,1.609,1.444,2.734
2016,5,42491,1.786,1.609,1.642,1.565,1.439,2.734
2016,6,42522,1.786,1.609,1.642,1.488,1.444,2.734
2016,7,42552,1.786,1.609,1.642,1.466,1.433,2.734
2016,8,42583,1.786,1.609,1.642,1.543,1.405,2.789
2016,9,42614,1.896,1.72,1.753,1.676,1.416,2.844
2016,10,42644,1.896,1.72,1.753,1.642,1.433,2.844
2016,11,42675,1.83,1.653,1.687,1.51,1.45,2.844
2016,12,42705,1.786,1.609,1.642,1.422,1.505,2.844
2017,1,42736,1.786,1.609,1.642,1.642,1.444,2.976
2017,2,42767,1.896,1.72,1.753,1.786,1.477,3.241
2017,3,42795,1.962,1.786,1.819,1.874,1.461,3.329
2017,4,42826,1.962,1.786,1.819,1.742,1.4,3.329
2017,5,42856,1.896,1.72,1.753,1.576,1.378,3.329
2017,6,42887,1.896,1.72,1.753,1.576,1.378,3.417
2017,7,42917,1.896,1.72,1.753,1.587,1.405,3.417
2017,8,42948,1.962,1.786,1.819,1.609,1.45,3.417
2017,9,42979,2.006,1.83,1.863,1.786,1.593,3.417
2017,10,43009,2.083,1.907,1.94,1.83,1.593,3.417
2017,11,43040,2.116,1.94,1.973,1.852,1.593,3.417
2017,12,43070,2.05,1.874,1.907,1.874,1.62,3.527
2018,1,43101,1.565,1.455,1.433,1.786,1.659,3.527
2018,2,43132,1.653,1.543,1.521,1.653,1.714,3.527
2018,3,43160,1.653,1.543,1.521,1.521,1.703,3.527
2018,4,43191,1.653,1.543,1.521,1.521,1.703,3.527
2018,5,43221,1.653,1.477,1.521,1.676,1.747,3.527
2018,6,43252,1.653,1.477,1.521,1.852,1.813,3.571
2018,7,43282,1.653,1.477,1.521,1.852,1.786,3.571
2018,8,43313,1.587,1.411,1.455,1.896,1.841,3.571
2018,9,43344,1.653,1.477,1.521,1.874,1.973,3.66
2018,10,43374,1.653,1.477,1.521,1.874,1.957,3.66
2018,11,43405,1.587,1.411,1.455,1.653,1.786,3.66
2018,12,43435,1.521,1.345,1.389,1.477,1.648,3.66
2019,1,43466,1.521,1.345,1.389,1.433,1.604,3.66
2019,2,43497,1.521,1.345,1.389,1.4,1.642,3.66
2019,3,43525,1.521,1.345,1.389,1.334,1.664,3.66
2019,4,43556,1.587,1.411,1.455,1.334,1.637,3.66
2019,5,43586,1.587,1.411,1.455,1.433,1.565,3.66
2019,6,43617,1.521,1.345,1.389,1.345,1.483,3.66
2019,7,43647,1.455,1.279,1.323,1.367,1.505,3.66
2019,8,43678,1.455,1.279,1.323,1.362,1.501,3.616
2019,9,43709,1.455,1.279,1.323,1.362,1.501,3.616
2019,10,43739,1.499,1.323,1.367,1.323,1.483,3.549
2019,11,43770,1.499,1.323,1.367,1.323,1.483,3.549
2019,12,43800,1.499,1.323,1.367,1.323,1.483,3.549
