Clase ,Masterclase
POLIAMIDAS,HDPE
POLIPROPILENO,PP
MASTERBATCH,HDPE
ADITIVOS,HDPE
LLDPE,LLDPE
BAJA DENSIDAD,LDPE
LINEAL MEDIA DENSIDAD,LLDPE
ALTA DENSIDAD,HDPE
RESINAS ADHESIVAS,HDPE
RESINAS TECNOLOGICAS,HDPE
EVOH,HDPE
PELETIZADOS,HDPE
ALUMINIO,AluLME
POLIAMIDA CAST,PA
POLIAMIDA BIORIENTADA,PA
BOPP,PP
POLIESTER,PET
POLIPROPILENO CAST,PP
PAPEL,Papel
LAMINAS DE BARRERA - TERMOFORMADO,PP
LAMINAS TRANSFORMADAS,PP
LAMINAS DE BARRERA - RESELLABLE,PP
PE PC,LDPE
LAMINAS BARRERA MEDIA,LDPE
LAMINAS EXTRUIDAS,LDPE
FILMS COMPOSTABLES,LDPE
GLICOLES,Acetone
ALCOHOLES,Acetone
HIDROCARBURO AROMATICO,Acetone
ESTERES,Acetone
NITROPOLIURETANICA PARA LAMINACION,TiO2
URETANO ELASTOMERICO,TiO2
NITROPOLIAMIDA COSOLVENTE,TiO2
BICOMPONENTE,TiO2
NITROACRILICA,TiO2
NITROESTIRENADA,TiO2
NITROPOLIAMIDA AL ALCOHOL MOD,TiO2
NITROPOLIURETANICA PARA SUPERFICIE,TiO2
NITROPOLIAMIDA AL ALCOHOL,TiO2
COMPUESTO ANTISCRATCH,TiO2
NITROCELULOSA,TiO2
POLIAMIDA,TiO2
CRODAMIDA,TiO2
POLIAMIDA COSOLVENTE,TiO2
SILICONA LIQUIDA,TiO2
POLIAMIDA NC,TiO2
PIGMENTO PLATA SILBERLINE,TiO2
RETORTABLE,TiO2
VINILICA,TiO2
PIGMENTO SILVER KC,TiO2
URETANO,TiO2
LACA TERMOSELLABLE,TiO2
BASE AGUA,TiO2
CATALIZADORES,TiO2
ADHESIVOS,TiO2
