Year,Month,Fecha,Papel,,
2014,1,41640,1.0100,,
2014,2,41671,1.0100,,
2014,3,41699,1.0300,,
2014,4,41730,1.0300,,
2014,5,41760,1.0300,,
2014,6,41791,1.0300,,
2014,7,41821,1.0300,,
2014,8,41852,1.0300,,
2014,9,41883,1.0300,,
2014,10,41913,1.0300,,
2014,11,41944,1.0200,,
2014,12,41974,1.0100,,
2015,1,42005,1.0000,,
2015,2,42036,0.9900,,
2015,3,42064,0.9800,,
2015,4,42095,0.9800,,
2015,5,42125,0.9800,,
2015,6,42156,0.9800,,
2015,7,42186,0.9800,,
2015,8,42217,0.9600,,
2015,9,42248,0.9600,,
2015,10,42278,0.9550,,
2015,11,42309,0.9400,,
2015,12,42339,0.9400,,
2016,1,42370,0.9400,,
2016,2,42401,0.9400,,
2016,3,42430,0.9500,,
2016,4,42461,0.9600,,
2016,5,42491,0.9800,,
2016,6,42522,1.0000,,
2016,7,42552,1.0000,,
2016,8,42583,1.0000,,
2016,9,42614,0.9900,,
2016,10,42644,0.9950,,
2016,11,42675,0.9900,,
2016,12,42705,0.9900,,
2017,1,42736,1.0100,,
2017,2,42767,1.0300,,
2017,3,42795,1.0600,,
2017,4,42826,1.0800,,
2017,5,42856,1.1000,,
2017,6,42887,1.1000,,
2017,7,42917,1.1000,,
2017,8,42948,1.1000,,
2017,9,42979,1.1300,,
2017,10,43009,1.1500,,
2017,11,43040,1.1850,,
2017,12,43070,1.2050,,
2018,1,43101,1.2100,,
2018,2,43132,1.2300,,
2018,3,43160,1.2600,,
2018,4,43191,1.2800,,
2018,5,43221,1.3200,,
2018,6,43252,1.3300,,
2018,7,43282,1.3550,,
2018,8,43313,1.3750,,
2018,9,43344,1.3850,,
2018,10,43374,1.4200,,
2018,11,43405,1.4350,,
2018,12,43435,1.4300,,
2019,13,43466,1.4050,,
2019,14,43497,1.3800,,
2019,15,43525,1.3600,,
2019,16,43556,1.3300,,
2019,17,43586,1.2950,,
2020,18,43617,1.2550,,
2020,19,43647,1.2050,,
